id,type,post_date,updated_date,location_name,city,province,country,country_best,city_best,approaches,method_types,tools_techniques_types,specific_methods_tools_techniques,primary_org_id,missing_org,missing_methods,missing_country
8448,case,,2022-08-31 18:52:59.136,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
57,case,2010-08-25 16:50:37,2018-07-23 22:49:51.353904,,,,France,France,Unknown,{},{},{},{},,1,1,0
112,case,2011-06-23 00:00:00,2021-06-12 00:00:00,,Montale,,Italy,Italy,Montale,{consultation},"{planning,collaborative,deliberative}","{facilitate,propose}","{5179,4777,560}",,1,0,0
4302,case,2016-02-01 15:17:23,2018-11-16 02:29:42.448133,,San Mateo,California,United States,United States,San Mateo,{},{},{},{},,1,1,0
24,case,2010-03-04 15:47:42,2017-06-21 12:18:15,Poitou-Charentes Region,,,France,France,Poitou-Charentes Region,{},{},{},{},,1,1,0
13420,case,2024-09-16 05:21:16.98224,2024-09-18 02:16:11.208352,,Bulawayo,Bulawayo Province,Zimbabwe,Zimbabwe,Bulawayo,{},{},{},{},,1,1,0
12124,case,2022-12-01 14:13:16.457797,2022-12-01 14:13:16.457797,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
7853,case,2021-12-08 23:45:10.382392,2021-12-08 23:45:10.382392,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
4234,case,2015-05-26 20:10:36,2018-11-02 22:48:28.740894,Humboldt Bay Municipal Water District,Eureka,California,United States,United States,Eureka,{},{},{},{},,1,1,0
7298,case,2021-03-15 00:00:00,2021-03-15 00:00:00,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
4176,case,2015-01-04 00:00:00,2020-01-21 00:00:00,,Boston,Massachusetts,United States,United States,Boston,{cogovernance},"{public,deliberative}","{manage,facilitate_decisionmaking}","{146,4298}",4377.0,0,0,0
4248,case,2015-06-22 22:45:29,2019-04-03 09:40:33.202396,Andradina,Andradina,São Paulo,Brazil,Brazil,Andradina,{},{},{},{},,1,1,0
7375,case,2021-04-07 00:00:00,2021-04-13 00:00:00,,,,,Unknown,Unknown,{},"{public,evaluation}",{},{},,1,1,1
5291,case,2018-06-05 00:00:00,2019-05-26 16:26:52.134493,,,,,Unknown,Unknown,{},{},{},{},,1,1,1
