"id","type","original_language","post_date","published","updated_date","location_name","address1","address2","city","province","postal_code","country","tags","featured","hidden","files","links","photos","videos","audio","latitude","longitude","reviewed_by","reviewed_at","verified","orginal_entry_id","friendly_id","recruitment_method","level_polarization","typical_purposes","facetoface_online_or_both","method_types","public_spectrum","open_limited","number_of_participants","scope_of_influence","participants_interactions","decision_methods","if_voting","facilitators","level_complexity","purpose_method","completeness","collections"
4915,"method","en","2017-05-18 18:00:12",True,"2018-07-16 22:01:11.958028","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,"no","","{}",NULL,"{}"
7844,"method","en","2021-12-08 18:31:53.731075",True,"2021-12-08 18:31:53.731075","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,NULL,"","{}",NULL,NULL
628,"method","en","2012-07-12 23:58:52",True,"2018-07-16 22:01:01.162516","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,"no","","{}",NULL,"{}"
4917,"method","en","2017-05-20 14:39:11",True,"2018-07-16 22:01:18.103803","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","polarized","{}","","{}","","","{}","{international}","{}","{}",NULL,"yes","","{}",NULL,"{}"
4916,"method","en","2017-05-18 18:43:06",True,"2018-07-16 22:01:09.154399","","","","","","","","{}",False,True,"{}","{}","{}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}",NULL,"no","","{}",NULL,"{}"
5016,"method","en","2017-08-22 00:00:00",True,"2020-06-01 00:00:00","","","","","","","","{}",False,False,"{}","{""(http://ctb.ku.edu/en/table-of-contents/assessment/assessing-community-ne...,\""\"",\""Implementing Photovoice in Your Community\"")""}","{""(https://s3.amazonaws.com/participedia.prod/e8cb275f-70a0-4224-8ee0-ef8353eb7867_468907_246350892147070_1850646325_o.jpg,https://goo.gl/qE8k2y,Photovoice/Facebook,Photovoice)""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"photovoice","","","{}","both","{participatory,experiential,deliberative}","involve","open","{medium,small}","{neighbourhood,city/town}","{discussion,storytelling,teachinginstructing}","{}","{}","no","","{develop,academic,make}","complete","{}"
5307,"method","en","2018-06-14 00:00:00",True,"2020-12-24 00:00:00","","","","","","","","{}",False,False,"{}","{""(\""https://live.fb.com/ \"",\""\"",\""Facebook Live\"")"",""(https://www.govloop.com/community/blog/get-inspired-use-facebook-live-video-agency/,\""\"",\""\""\""Get Inspired to Use Facebook Live at your Agency\""\""\"")""}","{""(https://s3.amazonaws.com/participedia.prod/b4ff9c97-39fe-4712-a102-590088532ec0_facebook-live-open-graph.jpg,https://goo.gl/bPBZnE,\""SalesForce \"",\""Facebook Live\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"facebook-live","","low","{}","online","{informal,experiential}","","open","{no_limit}","{no_geo}","{listenwatch,ask,informal}","{n/a}","{}","no","","{}","complete","{}"
5408,"method","en","2018-07-21 22:59:54.76566",True,"2018-07-21 22:59:54.783028","","","","","","","","{}",False,False,"{}","{""(http://www.church-poverty.org.uk/sop,\""\"",\""\"")"",""(http://www.communitypride.org.uk/?page_id=58,\""\"",\""\"")""}","{""(63d705fa-a9b9-48a0-8f40-6193a7a9caa5_6055965662_c9b746ecc9.jpg,\""\"",\""\"",\""\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"schools-of-participation","","","{}","","{}","","","{}","{local}","{}","{}",NULL,"yes","","{}",NULL,"{}"
4381,"method","en","2016-05-16 00:00:00",True,"2021-07-08 00:00:00","","","","","","","","{}",False,False,"{}","{""(https://ecosystems.noaa.gov/EBM101/WhatisEcosystem-BasedManagement.aspx,NOAA,\""National Oceanic and Atmospheric Administration - What is Ecosystem-Based Management?\"")"",""(https://www.sciencedirect.com/science/article/pii/S0308597X1500024X,\""Rachel D. Long, Anthony Charles, and Robert L. Stephenson\"",\""Key principles of marine ecosystem-based management\"")""}","{""(https://s3.amazonaws.com/participedia.prod/3b319feb-45a4-41ac-9260-f525cfae2dd1_3294686424_dfe41fa6e1_b.jpg,https://goo.gl/zgQTav,\""Timothy Corey\"",\""What is Ecosystem-Based Management?\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,"ecosystem-based-management","","","{}","facetoface","{planning,collaborative}","involve","open","{}","{city/town,neighbourhood,metropolitan}","{}","{idea}","{}","no","","{make,make_influence}","partial_content","{}"
13413,"method","en","2024-09-06 11:49:44.436767",False,"2024-09-06 11:49:44.436767","","","","","","","","{}",False,False,"{""(https://s3.amazonaws.com/participedia.prod/06a9131d-48ac-4e9f-9f82-9eca12535af5.jpeg,\""\"",\""\"",\""Unlock Radiant Skin Exploring Skin Whitening Treatment in Mumbai.jpg\"")""}","{""(http://www.glossclinic.com/skin-whiteining.php,\""\"",\""\"")""}","{""(https://s3.amazonaws.com/participedia.prod/de0b5146-216a-4e61-969a-9061922326fe.jpeg,\""\"",\""\"",\""Unlock Radiant Skin Exploring Skin Whitening Treatment in Mumbai.jpg\"")""}","{}","{}",NULL,NULL,NULL,NULL,False,NULL,NULL,"","","{}","","{}","","","{}","{}","{}","{}","{}","","","{}",NULL,"{}"
